disease_name,year,week,week_date,male_count,female_count,total_count,sentinel_points,data_type
インフルエンザ,2015,1,2015-W01,1889,1920,3809,345,gender
RSウイルス感染症,2015,1,2015-W01,34,44,78,210,gender
咽頭結膜熱,2015,1,2015-W01,14,11,25,210,gender
Ａ群溶血性レンサ球菌咽頭炎,2015,1,2015-W01,56,50,106,210,gender
感染性胃腸炎,2015,1,2015-W01,275,206,481,210,gender
水痘,2015,1,2015-W01,28,21,49,210,gender
手足口病,2015,1,2015-W01,7,3,10,210,gender
突発性発しん,2015,1,2015-W01,10,8,18,210,gender
ヘルパンギーナ,2015,1,2015-W01,0,1,1,210,gender
流行性耳下腺炎,2015,1,2015-W01,7,4,11,210,gender
川崎病,2015,1,2015-W01,0,1,1,210,gender
インフルエンザ,2009,50,2009-W50,1980,2007,3987,290,gender
RSウイルス感染症,2009,50,2009-W50,26,21,47,150,gender
咽頭結膜熱,2009,50,2009-W50,10,2,12,150,gender
Ａ群溶血性レンサ球菌咽頭炎,2009,50,2009-W50,93,94,187,150,gender
感染性胃腸炎,2009,50,2009-W50,483,451,934,150,gender
水痘,2009,50,2009-W50,84,90,174,150,gender
手足口病,2009,50,2009-W50,31,19,50,150,gender
突発性発しん,2009,50,2009-W50,32,43,75,150,gender
ヘルパンギーナ,2009,50,2009-W50,5,5,10,150,gender
流行性耳下腺炎,2009,50,2009-W50,51,46,97,150,gender
川崎病,2009,50,2009-W50,0,0,0,150,gender
インフルエンザ,2015,29,2015-W29,3,4,7,410,gender
RSウイルス感染症,2015,29,2015-W29,10,5,15,259,gender
咽頭結膜熱,2015,29,2015-W29,97,78,175,259,gender
Ａ群溶血性レンサ球菌咽頭炎,2015,29,2015-W29,375,337,712,259,gender
感染性胃腸炎,2015,29,2015-W29,691,572,1263,259,gender
水痘,2015,29,2015-W29,69,52,121,259,gender
手足口病,2015,29,2015-W29,2138,1810,3948,259,gender
突発性発しん,2015,29,2015-W29,77,93,170,259,gender
ヘルパンギーナ,2015,29,2015-W29,443,422,865,259,gender
流行性耳下腺炎,2015,29,2015-W29,59,49,108,259,gender
川崎病,2015,29,2015-W29,3,3,6,259,gender
インフルエンザ,2016,34,2016-W34,8,7,15,409,gender
RSウイルス感染症,2016,34,2016-W34,89,82,171,256,gender
咽頭結膜熱,2016,34,2016-W34,22,33,55,256,gender
Ａ群溶血性レンサ球菌咽頭炎,2016,34,2016-W34,146,135,281,256,gender
感染性胃腸炎,2016,34,2016-W34,458,397,855,256,gender
水痘,2016,34,2016-W34,37,26,63,256,gender
手足口病,2016,34,2016-W34,142,101,243,256,gender
突発性発しん,2016,34,2016-W34,66,79,145,256,gender
ヘルパンギーナ,2016,34,2016-W34,256,230,486,256,gender
流行性耳下腺炎,2016,34,2016-W34,107,95,202,256,gender
川崎病,2016,34,2016-W34,3,5,8,256,gender
インフルエンザ,2024,12,2024-W12,2530,2247,4777,416,gender
新型コロナウイルス感染症（COVID-19）,2024,12,2024-W12,561,713,1274,416,gender
RSウイルス感染症,2024,12,2024-W12,82,59,141,262,gender
咽頭結膜熱,2024,12,2024-W12,25,19,44,262,gender
Ａ群溶血性レンサ球菌咽頭炎,2024,12,2024-W12,406,335,741,262,gender
感染性胃腸炎,2024,12,2024-W12,582,514,1096,262,gender
水痘,2024,12,2024-W12,26,30,56,262,gender
手足口病,2024,12,2024-W12,3,1,4,262,gender
突発性発しん,2024,12,2024-W12,31,33,64,262,gender
ヘルパンギーナ,2024,12,2024-W12,2,0,2,262,gender
流行性耳下腺炎,2024,12,2024-W12,5,5,10,262,gender
川崎病,2024,12,2024-W12,0,4,4,262,gender
インフルエンザ,2014,47,2014-W47,434,359,793,412,gender
RSウイルス感染症,2014,47,2014-W47,207,175,382,263,gender
咽頭結膜熱,2014,47,2014-W47,80,77,157,263,gender
Ａ群溶血性レンサ球菌咽頭炎,2014,47,2014-W47,398,308,706,263,gender
感染性胃腸炎,2014,47,2014-W47,1180,1025,2205,263,gender
水痘,2014,47,2014-W47,129,101,230,263,gender
手足口病,2014,47,2014-W47,94,52,146,263,gender
突発性発しん,2014,47,2014-W47,85,64,149,263,gender
ヘルパンギーナ,2014,47,2014-W47,17,5,22,263,gender
流行性耳下腺炎,2014,47,2014-W47,30,22,52,263,gender
川崎病,2014,47,2014-W47,2,1,3,263,gender
インフルエンザ,2019,17,2019-W17,609,582,1191,409,gender
RSウイルス感染症,2019,17,2019-W17,54,45,99,257,gender
咽頭結膜熱,2019,17,2019-W17,34,32,66,257,gender
Ａ群溶血性レンサ球菌咽頭炎,2019,17,2019-W17,432,335,767,257,gender
