disease_name,count,year,week,report_date,category
エボラ出血熱,0,2019,26,2019-07-01T00:00:00,1類感染症
クリミア・コンゴ出血熱,0,2019,26,2019-07-01T00:00:00,1類感染症
痘そう,0,2019,26,2019-07-01T00:00:00,1類感染症
南米出血熱,0,2019,26,2019-07-01T00:00:00,1類感染症
ペスト,0,2019,26,2019-07-01T00:00:00,1類感染症
マールブルグ病,0,2019,26,2019-07-01T00:00:00,1類感染症
ラッサ熱,0,2019,26,2019-07-01T00:00:00,1類感染症
急性灰白髄炎,0,2019,26,2019-07-01T00:00:00,2類感染症
結核,68,2019,26,2019-07-01T00:00:00,2類感染症
ジフテリア,0,2019,26,2019-07-01T00:00:00,2類感染症
重症急性呼吸器症候群,0,2019,26,2019-07-01T00:00:00,2類感染症
中東呼吸器症候群,0,2019,26,2019-07-01T00:00:00,2類感染症
鳥インフルエンザ（H5N1),0,2019,26,2019-07-01T00:00:00,2類感染症
鳥インフルエンザ（H7N9),0,2019,26,2019-07-01T00:00:00,2類感染症
コレラ,0,2019,26,2019-07-01T00:00:00,3類感染症
細菌性赤痢,1,2019,26,2019-07-01T00:00:00,3類感染症
腸管出血性大腸菌感染症,15,2019,26,2019-07-01T00:00:00,5類感染症
腸チフス,0,2019,26,2019-07-01T00:00:00,3類感染症
パラチフス,0,2019,26,2019-07-01T00:00:00,3類感染症
E型肝炎,0,2019,26,2019-07-01T00:00:00,4類感染症
ウエストナイル熱,0,2019,26,2019-07-01T00:00:00,4類感染症
A型肝炎,2,2019,26,2019-07-01T00:00:00,4類感染症
エキノコックス症,0,2019,26,2019-07-01T00:00:00,4類感染症
エムポックス,0,2019,26,2019-07-01T00:00:00,その他
黄熱,0,2019,26,2019-07-01T00:00:00,4類感染症
オウム病,0,2019,26,2019-07-01T00:00:00,4類感染症
オムスク出血熱,0,2019,26,2019-07-01T00:00:00,4類感染症
回帰熱,0,2019,26,2019-07-01T00:00:00,4類感染症
キャサヌル森林病,0,2019,26,2019-07-01T00:00:00,その他
Ｑ熱,0,2019,26,2019-07-01T00:00:00,4類感染症
狂犬病,0,2019,26,2019-07-01T00:00:00,4類感染症
コクシジオイデス症,0,2019,26,2019-07-01T00:00:00,4類感染症
ジカウイルス感染症,0,2019,26,2019-07-01T00:00:00,4類感染症
重症熱性血小板減少症候群,0,2019,26,2019-07-01T00:00:00,4類感染症
腎症候性出血熱,0,2019,26,2019-07-01T00:00:00,4類感染症
西部ウマ脳炎,0,2019,26,2019-07-01T00:00:00,4類感染症
